Data,Vendas,Loja
2023-03-16 23:46:39,260,Loja_A
2023-09-22 21:05:10,156,Loja_B
2023-06-21 09:07:42,269,Loja_D
2023-01-30 16:43:33,402,Loja_E
2023-05-09 11:50:58,497,Loja_B
2023-06-15 00:21:57,187,Loja_E
2023-09-17 19:38:16,272,Loja_E
2023-10-29 19:11:59,85,Loja_E
2023-07-09 14:39:54,119,Loja_D
2023-07-11 06:07:53,159,Loja_B
2023-08-20 18:31:41,335,Loja_C
2023-07-22 13:09:35,256,Loja_C
2023-07-18 19:11:34,475,Loja_D
2023-12-20 04:28:00,329,Loja_D
2023-08-06 10:52:12,296,Loja_C
2023-09-27 14:23:18,263,Loja_D
2023-05-26 08:34:40,353,Loja_A
2023-11-30 21:02:59,226,Loja_D
2023-07-04 08:32:17,409,Loja_D
2023-02-04 04:18:42,98,Loja_B
2023-05-23 17:21:14,72,Loja_C
2023-12-20 02:18:33,374,Loja_E
2023-04-25 17:50:54,140,Loja_E
2023-07-14 15:16:32,55,Loja_C
2023-09-04 23:41:33,357,Loja_A
2023-02-26 09:07:55,74,Loja_B
2023-04-10 23:45:40,201,Loja_A
2023-03-03 09:17:23,482,Loja_E
2023-07-02 09:09:18,455,Loja_E
2023-03-17 10:53:02,184,Loja_E
2023-05-12 20:00:20,426,Loja_C
2023-10-01 00:23:39,433,Loja_E
2023-07-11 11:46:42,475,Loja_D
2023-09-30 01:37:07,362,Loja_C
2023-05-01 22:33:43,399,Loja_D
2023-08-02 22:40:01,119,Loja_E
2023-11-21 23:11:34,461,Loja_A
2023-07-01 00:08:24,171,Loja_A
2023-12-24 19:34:56,481,Loja_D
2023-02-25 06:59:39,283,Loja_A
2023-02-02 07:41:41,339,Loja_C
2023-09-13 02:48:06,131,Loja_C
2023-12-23 03:48:32,196,Loja_D
2023-07-05 16:05:31,440,Loja_E
2023-11-20 22:54:27,53,Loja_C
2023-11-29 13:52:25,314,Loja_E
2023-05-02 10:33:00,363,Loja_E
2023-10-25 15:17:12,372,Loja_E
2023-12-23 10:06:45,90,Loja_A
2023-03-28 18:18:52,385,Loja_C
2023-02-22 18:50:48,446,Loja_D
2023-08-02 08:41:06,165,Loja_D
2023-08-01 16:36:47,430,Loja_D
2023-04-13 07:38:11,94,Loja_B
2023-10-22 04:56:29,223,Loja_A
2023-06-20 23:49:59,491,Loja_B
2023-05-23 23:35:49,433,Loja_B
2023-09-22 02:05:37,74,Loja_A
2023-07-02 06:08:56,264,Loja_D
2023-07-18 03:44:34,308,Loja_A
2023-09-30 05:36:45,413,Loja_C
2023-11-28 22:40:18,178,Loja_A
2023-12-01 13:45:02,331,Loja_A
2023-10-24 05:10:13,122,Loja_E
2023-01-07 02:52:22,246,Loja_D
2023-09-11 06:28:02,449,Loja_B
2023-09-26 23:58:59,121,Loja_E
2023-06-16 13:58:23,112,Loja_A
2023-08-13 17:40:51,298,Loja_A
2023-05-30 06:16:11,217,Loja_D
2023-09-12 09:58:11,394,Loja_D
2023-09-11 11:24:26,369,Loja_D
2023-11-24 01:43:32,89,Loja_E
2023-01-20 01:09:16,340,Loja_A
2023-02-01 04:01:27,243,Loja_B
2023-02-10 03:55:46,67,Loja_B
2023-05-29 22:47:46,169,Loja_C
2023-10-13 18:16:11,125,Loja_D
2023-02-07 20:26:01,424,Loja_E
2023-04-13 13:53:42,132,Loja_E
2023-03-13 17:31:51,291,Loja_D
2023-08-04 13:59:16,129,Loja_C
2023-08-31 06:51:55,466,Loja_C
2023-04-28 15:49:23,348,Loja_E
2023-07-12 23:54:43,131,Loja_A
2023-11-24 08:47:35,165,Loja_D
2023-10-23 09:16:24,450,Loja_D
2023-01-25 05:12:18,106,Loja_E
2023-08-04 07:45:06,99,Loja_E
2023-07-09 11:50:09,156,Loja_A
2023-11-19 03:31:52,172,Loja_B
2023-10-23 03:57:08,126,Loja_E
2023-12-04 22:14:49,319,Loja_B
2023-09-25 03:45:35,358,Loja_A
2023-11-05 03:32:09,174,Loja_E
2023-05-30 15:57:39,489,Loja_C
2023-03-03 13:18:09,190,Loja_C
2023-08-26 02:39:01,276,Loja_B
2023-01-29 14:29:17,99,Loja_A
2023-12-26 22:39:33,351,Loja_C
2023-07-14 08:36:09,111,Loja_E
2023-03-14 20:57:34,226,Loja_A
2023-07-09 02:49:41,272,Loja_A
2023-11-25 00:44:08,96,Loja_A
2023-10-05 07:47:24,210,Loja_B
2023-10-21 03:55:56,52,Loja_A
2023-07-02 20:25:47,325,Loja_E
2023-03-29 05:10:44,469,Loja_D
2023-05-30 16:35:05,359,Loja_A
2023-01-16 08:17:06,101,Loja_E
2023-10-24 20:28:26,200,Loja_B
2023-02-07 21:46:41,119,Loja_B
2023-11-30 13:03:50,120,Loja_D
2023-03-04 14:40:51,462,Loja_B
2023-08-25 12:04:31,69,Loja_B
2023-02-05 20:46:54,226,Loja_B
2023-11-04 07:21:15,443,Loja_C
2023-02-20 23:51:15,348,Loja_D
2023-07-08 08:57:15,310,Loja_E
2023-11-21 02:52:47,277,Loja_C
2023-09-16 06:30:55,360,Loja_C
2023-09-13 00:54:11,475,Loja_B
2023-10-15 01:36:33,410,Loja_B
2023-04-21 04:49:08,393,Loja_C
2023-11-27 14:41:37,204,Loja_D
2023-01-19 10:42:20,258,Loja_C
2023-04-12 18:10:27,155,Loja_D
2023-01-10 06:53:44,107,Loja_E
2023-01-19 12:29:12,393,Loja_B
2023-07-22 14:01:06,50,Loja_C
2023-04-30 03:21:39,316,Loja_C
2023-07-23 18:30:06,412,Loja_E
2023-05-30 15:02:55,144,Loja_E
2023-07-08 15:43:00,429,Loja_C
2023-03-02 20:55:41,165,Loja_D
2023-06-13 12:58:06,341,Loja_A
2023-07-03 19:43:24,316,Loja_A
2023-08-07 03:42:42,175,Loja_B
2023-07-29 23:19:05,397,Loja_C
2023-11-11 11:54:23,204,Loja_E
2023-03-18 02:47:36,293,Loja_A
2023-11-22 21:54:47,496,Loja_C
2023-06-13 14:18:02,225,Loja_A
2023-04-29 09:13:44,207,Loja_B
2023-01-05 06:08:00,321,Loja_D
2023-12-28 01:54:54,376,Loja_D
2023-01-24 15:29:35,454,Loja_B
2023-01-12 12:22:09,495,Loja_C
2023-08-05 15:44:52,218,Loja_B
2023-04-06 06:29:46,54,Loja_E
2023-07-06 21:34:54,194,Loja_D
2023-10-28 05:10:00,262,Loja_E
2023-08-04 00:48:15,393,Loja_B
2023-05-08 20:40:19,307,Loja_B
2023-06-15 04:58:53,168,Loja_A
2023-12-09 16:53:15,182,Loja_C
2023-01-11 09:13:40,475,Loja_C
2023-09-30 09:13:58,336,Loja_D
2023-06-19 12:29:48,342,Loja_A
2023-07-16 09:20:24,108,Loja_B
2023-06-29 12:14:05,210,Loja_A
2023-08-31 18:04:12,56,Loja_A
2023-03-14 11:23:58,327,Loja_D
2023-08-14 18:28:10,172,Loja_D
2023-04-28 17:07:43,378,Loja_D
2023-12-01 02:20:48,343,Loja_D
2023-05-16 07:46:48,328,Loja_A
2023-04-04 09:51:58,196,Loja_B
2023-05-24 05:54:05,83,Loja_D
2023-07-06 13:15:41,141,Loja_D
2023-05-19 02:41:38,275,Loja_D
2023-03-15 22:07:26,203,Loja_E
2023-02-25 14:39:34,187,Loja_B
2023-12-09 01:30:57,154,Loja_C
2023-11-20 15:01:36,279,Loja_B
2023-09-10 18:09:35,78,Loja_A
2023-02-11 15:31:22,399,Loja_A
2023-03-08 12:45:52,392,Loja_E
2023-03-27 21:34:33,142,Loja_D
2023-02-08 12:52:48,109,Loja_D
2023-09-25 15:05:44,302,Loja_E
2023-11-24 11:20:54,287,Loja_B
2023-01-25 06:15:03,478,Loja_D
2023-05-26 09:13:57,367,Loja_D
2023-12-15 22:23:09,210,Loja_B
2023-03-17 09:05:40,227,Loja_C
2023-04-12 00:08:36,447,Loja_D
2023-12-22 12:24:29,196,Loja_A
2023-05-24 09:14:11,64,Loja_E
2023-12-11 15:54:45,353,Loja_B
2023-04-01 22:08:54,209,Loja_E
2023-12-02 18:41:58,205,Loja_D
2023-02-18 05:27:25,425,Loja_B
2023-03-08 04:53:56,71,Loja_D
2023-06-23 19:40:47,447,Loja_B
2023-02-08 12:38:57,281,Loja_D
2023-03-17 05:47:52,66,Loja_D
2023-06-30 02:31:35,279,Loja_B
2023-10-26 10:34:44,158,Loja_D
2023-02-05 09:11:29,139,Loja_C
2023-08-11 17:43:09,495,Loja_C
2023-10-21 00:30:32,149,Loja_D
2023-06-06 23:18:44,435,Loja_A
2023-09-22 23:51:27,282,Loja_B
2023-09-23 17:58:32,292,Loja_B
2023-08-06 07:43:40,118,Loja_D
2023-06-18 14:34:34,340,Loja_E
2023-04-07 01:37:16,369,Loja_B
2023-09-20 21:11:04,226,Loja_D
2023-12-12 02:15:26,267,Loja_B
2023-03-28 19:41:07,88,Loja_D
2023-02-18 22:27:04,169,Loja_E
2023-03-03 09:44:30,478,Loja_E
2023-12-17 19:02:26,292,Loja_D
2023-06-26 06:20:42,453,Loja_A
2023-01-01 07:51:18,76,Loja_A
2023-12-30 12:01:44,266,Loja_D
2023-05-22 23:57:45,327,Loja_C
2023-07-25 06:08:35,85,Loja_E
2023-11-09 07:14:19,397,Loja_D
2023-05-07 02:08:38,224,Loja_B
2023-03-08 07:17:33,456,Loja_C
2023-06-21 22:33:10,383,Loja_A
2023-10-15 22:09:51,69,Loja_C
2023-09-18 08:04:37,475,Loja_C
2023-07-13 08:23:01,107,Loja_C
2023-11-24 13:43:48,412,Loja_D
2023-05-15 03:28:04,390,Loja_D
2023-10-05 23:04:52,377,Loja_C
2023-05-01 04:52:20,194,Loja_A
2023-12-28 16:18:47,216,Loja_E
2023-01-23 03:23:31,310,Loja_E
2023-12-22 07:37:37,446,Loja_A
2023-01-01 01:59:41,457,Loja_B
2023-03-18 20:41:26,146,Loja_E
2023-02-02 11:06:10,349,Loja_C
2023-10-13 06:36:49,453,Loja_C
2023-09-14 06:58:27,179,Loja_D
2023-07-21 09:40:27,491,Loja_E
2023-09-16 03:12:00,427,Loja_E
2023-12-06 05:38:38,421,Loja_E
