Produto,Categoria,Preco,Quantidade,Vendido_em
Produto_53,Categoria_D,29.199677329431765,47,2023-10-28 12:21:21
Produto_10,Categoria_A,377.8938921881781,30,2023-08-29 19:04:10
Produto_54,Categoria_B,222.73181301683456,15,2023-02-24 16:12:33
Produto_95,Categoria_B,364.03749974263826,45,2023-01-16 04:36:11
Produto_9,Categoria_C,362.1445614482403,22,2023-04-06 02:18:16
Produto_29,Categoria_A,266.2001086462401,16,2023-01-17 14:08:27
Produto_74,Categoria_D,45.588044120349025,13,2023-06-19 21:54:35
Produto_22,Categoria_A,26.212423591525116,24,2023-02-25 13:50:37
Produto_100,Categoria_C,370.397022012566,8,2023-07-05 20:51:09
Produto_28,Categoria_E,289.98755966020457,49,2023-03-12 10:06:01
Produto_41,Categoria_E,493.73855028728474,15,2023-08-19 17:16:24
Produto_45,Categoria_A,416.9989835198449,31,2023-08-12 18:03:47
Produto_47,Categoria_A,67.96869725779987,39,2023-05-17 20:24:54
Produto_89,Categoria_C,272.9252215252531,17,2023-01-09 00:26:58
Produto_58,Categoria_E,163.15167169863813,49,2023-05-02 03:33:33
Produto_28,Categoria_C,323.274733065158,44,2023-05-17 02:54:31
Produto_39,Categoria_B,432.4302037825178,23,2023-02-17 03:31:23
Produto_8,Categoria_B,40.40341161283397,35,2023-09-01 13:32:01
Produto_37,Categoria_C,428.12374979920804,33,2023-12-08 16:29:45
Produto_15,Categoria_D,344.5080881032386,2,2023-09-25 02:57:23
Produto_67,Categoria_B,133.59714542360211,28,2023-07-28 10:58:52
Produto_91,Categoria_A,304.74806275895634,4,2023-05-19 14:16:51
Produto_87,Categoria_C,458.09423720468527,41,2023-07-05 10:53:12
Produto_7,Categoria_D,136.49597296853665,11,2023-03-20 00:40:45
Produto_76,Categoria_B,223.09963445527436,30,2023-03-21 05:20:24
Produto_47,Categoria_A,422.09261235572586,27,2023-09-19 19:48:50
Produto_10,Categoria_E,305.8567988959169,17,2023-07-08 19:20:25
Produto_25,Categoria_E,240.28220001568354,17,2023-02-23 11:57:02
Produto_90,Categoria_E,260.8779611368712,49,2023-10-24 06:35:33
Produto_78,Categoria_A,179.700159770098,13,2023-09-19 04:58:59
Produto_55,Categoria_C,245.82189445208775,34,2023-12-12 08:37:58
Produto_75,Categoria_C,19.947758049480907,10,2023-08-08 10:59:10
Produto_21,Categoria_A,214.63646313990697,49,2023-01-16 16:33:10
Produto_45,Categoria_D,52.043583796459636,35,2023-02-02 04:09:32
Produto_67,Categoria_B,315.30459142831364,35,2023-02-06 20:00:53
Produto_91,Categoria_D,100.4496597745972,20,2023-06-13 05:14:32
Produto_68,Categoria_B,253.84969426890387,30,2023-09-18 06:10:16
Produto_77,Categoria_C,432.1674592592035,3,2023-04-04 12:40:24
Produto_78,Categoria_C,185.08551675178248,48,2023-09-13 00:24:58
Produto_98,Categoria_B,181.9122200078453,6,2023-01-07 17:39:34
Produto_89,Categoria_C,360.5956627910532,19,2023-12-11 09:40:00
Produto_21,Categoria_C,461.56946453605923,31,2023-02-19 16:10:01
Produto_8,Categoria_C,115.62778130824638,24,2023-07-15 04:10:03
Produto_49,Categoria_E,73.31288211259483,45,2023-04-05 15:23:00
Produto_90,Categoria_A,234.7443113262588,39,2023-05-29 14:00:42
Produto_24,Categoria_C,108.10794494651822,1,2023-12-18 07:51:01
Produto_51,Categoria_E,354.32623638412775,1,2023-01-30 17:42:46
Produto_94,Categoria_D,44.341555834527135,41,2023-11-27 09:51:20
Produto_57,Categoria_B,475.78113308283474,45,2023-11-12 15:46:46
Produto_88,Categoria_B,22.965731748433694,25,2023-02-14 20:52:50
Produto_36,Categoria_D,387.4450560355965,22,2023-08-01 07:09:04
Produto_96,Categoria_D,184.09165738695864,26,2023-04-02 20:21:35
Produto_11,Categoria_A,248.82986984360008,8,2023-01-12 04:56:49
